Year,Series,Value
2008,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2009,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables),0.0
2008,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2009,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),1.0
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),1.0
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),1.0
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables),0.0
2008,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2009,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2010,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2011,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2012,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2013,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2014,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1.0
2015,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1.0
2016,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2017,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2018,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2019,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),1.0
2020,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2021,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
2022,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables),0.0
