Year,Series,Value
2000,Above-ground biomass in forest (tonnes per hectare),51.38
2010,Above-ground biomass in forest (tonnes per hectare),51.38
2015,Above-ground biomass in forest (tonnes per hectare),51.38
2020,Above-ground biomass in forest (tonnes per hectare),51.38
2000,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2005,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2010,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2015,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2016,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2017,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2018,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2019,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2020,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2021,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2022,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2023,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2024,Forest area certified under an independently verified certification scheme (thousands of hectares),0.0
2000,Annual forest area change rate (%),-0.17
2015,Annual forest area change rate (%),-0.17
2000,Proportion of forest area with a long-term management plan (%),17.05
2010,Proportion of forest area with a long-term management plan (%),21.94
2015,Proportion of forest area with a long-term management plan (%),28.69
2020,Proportion of forest area with a long-term management plan (%),33.23
2000,Proportion of forest area within legally established protected areas (%),11.74
2010,Proportion of forest area within legally established protected areas (%),11.74
2015,Proportion of forest area within legally established protected areas (%),11.74
2020,Proportion of forest area within legally established protected areas (%),11.75
