Year,Series,Value
2000,Current account balance as a proportion of GDP (%),-5.5408
2001,Current account balance as a proportion of GDP (%),-3.7751
2002,Current account balance as a proportion of GDP (%),-4.5434
2003,Current account balance as a proportion of GDP (%),-4.9897
2004,Current account balance as a proportion of GDP (%),-5.0745
2005,Current account balance as a proportion of GDP (%),-6.1415
2006,Current account balance as a proportion of GDP (%),-7.3687
2007,Current account balance as a proportion of GDP (%),-9.3791
2008,Current account balance as a proportion of GDP (%),-11.2221
2009,Current account balance as a proportion of GDP (%),-5.3092
2010,Current account balance as a proportion of GDP (%),-3.6565
2011,Current account balance as a proportion of GDP (%),-6.4453
2012,Current account balance as a proportion of GDP (%),-8.6519
2013,Current account balance as a proportion of GDP (%),-8.1923
2014,Current account balance as a proportion of GDP (%),-6.8029
2015,Current account balance as a proportion of GDP (%),-5.3162
2016,Current account balance as a proportion of GDP (%),-4.1788
2017,Current account balance as a proportion of GDP (%),-7.2691
2018,Current account balance as a proportion of GDP (%),-9.5829
2019,Current account balance as a proportion of GDP (%),-8.1095
2020,Current account balance as a proportion of GDP (%),-10.8532
2021,Current account balance as a proportion of GDP (%),-12.09
2022,Current account balance as a proportion of GDP (%),-19.9486
2023,Current account balance as a proportion of GDP (%),-19.7803
2000,"Portfolio investment, net (Balance of Payments, current United States dollars)",-23021425.45
2001,"Portfolio investment, net (Balance of Payments, current United States dollars)",-7568292.542
2002,"Portfolio investment, net (Balance of Payments, current United States dollars)",38311219.95
2003,"Portfolio investment, net (Balance of Payments, current United States dollars)",45828794.54
2004,"Portfolio investment, net (Balance of Payments, current United States dollars)",46795411.08
2005,"Portfolio investment, net (Balance of Payments, current United States dollars)",4343221.772
2006,"Portfolio investment, net (Balance of Payments, current United States dollars)",67014323.82
2007,"Portfolio investment, net (Balance of Payments, current United States dollars)",-22501548.86
2008,"Portfolio investment, net (Balance of Payments, current United States dollars)",-81995508.08
2009,"Portfolio investment, net (Balance of Payments, current United States dollars)",-138339166.1
2010,"Portfolio investment, net (Balance of Payments, current United States dollars)",-80801260.35
2011,"Portfolio investment, net (Balance of Payments, current United States dollars)",-881611059.1
2012,"Portfolio investment, net (Balance of Payments, current United States dollars)",-275703168.1
2013,"Portfolio investment, net (Balance of Payments, current United States dollars)",39526999.13
2014,"Portfolio investment, net (Balance of Payments, current United States dollars)",-319134502.9
2015,"Portfolio investment, net (Balance of Payments, current United States dollars)",-199325555.3
2016,"Portfolio investment, net (Balance of Payments, current United States dollars)",543212200.2
2017,"Portfolio investment, net (Balance of Payments, current United States dollars)",-862154449.0
2018,"Portfolio investment, net (Balance of Payments, current United States dollars)",-1364991690.0
2019,"Portfolio investment, net (Balance of Payments, current United States dollars)",-98401461.49
2020,"Portfolio investment, net (Balance of Payments, current United States dollars)",-349660690.9
2021,"Portfolio investment, net (Balance of Payments, current United States dollars)",-602980159.0
2022,"Portfolio investment, net (Balance of Payments, current United States dollars)",-442926003.7
2023,"Portfolio investment, net (Balance of Payments, current United States dollars)",-208098380.7
2000,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.3577
2001,"Foreign direct investment, net inflows, as a proportion of GDP (%)",0.6928
2002,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.1802
2003,"Foreign direct investment, net inflows, as a proportion of GDP (%)",0.9865
2004,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.3653
2005,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.5255
2006,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.4777
2007,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.5115
2008,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.704
2009,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.053
2010,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.6878
2011,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.9011
2012,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.5637
2013,"Foreign direct investment, net inflows, as a proportion of GDP (%)",1.6458
2014,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.0361
2015,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.3019
2016,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.4811
2017,"Foreign direct investment, net inflows, as a proportion of GDP (%)",2.8019
2018,"Foreign direct investment, net inflows, as a proportion of GDP (%)",3.6677
2019,"Foreign direct investment, net inflows, as a proportion of GDP (%)",4.5525
2020,"Foreign direct investment, net inflows, as a proportion of GDP (%)",7.524
2021,"Foreign direct investment, net inflows, as a proportion of GDP (%)",9.4043
2022,"Foreign direct investment, net inflows, as a proportion of GDP (%)",10.5411
2023,"Foreign direct investment, net inflows, as a proportion of GDP (%)",15.6045
2024,"Foreign direct investment, net inflows, as a proportion of GDP (%)",6.1461
2014,"Gross public sector debt, Central Government, as a proportion of GDP (%)",40.128
2015,"Gross public sector debt, Central Government, as a proportion of GDP (%)",43.7968
2016,"Gross public sector debt, Central Government, as a proportion of GDP (%)",48.1103
2017,"Gross public sector debt, Central Government, as a proportion of GDP (%)",47.9705
2018,"Gross public sector debt, Central Government, as a proportion of GDP (%)",55.5864
2019,"Gross public sector debt, Central Government, as a proportion of GDP (%)",60.0303
2020,"Gross public sector debt, Central Government, as a proportion of GDP (%)",63.0675
2021,"Gross public sector debt, Central Government, as a proportion of GDP (%)",67.4741
2022,"Gross public sector debt, Central Government, as a proportion of GDP (%)",67.632
2023,"Gross public sector debt, Central Government, as a proportion of GDP (%)",75.1121
2000,External debt stocks as a proportion of GNI (%),61.6895
2001,External debt stocks as a proportion of GNI (%),57.5583
2002,External debt stocks as a proportion of GNI (%),59.6555
2003,External debt stocks as a proportion of GNI (%),50.6997
2004,External debt stocks as a proportion of GNI (%),39.4451
2005,External debt stocks as a proportion of GNI (%),35.3572
2006,External debt stocks as a proportion of GNI (%),16.6357
2007,External debt stocks as a proportion of GNI (%),18.5672
2008,External debt stocks as a proportion of GNI (%),16.9573
2009,External debt stocks as a proportion of GNI (%),23.2841
2010,External debt stocks as a proportion of GNI (%),29.1069
2011,External debt stocks as a proportion of GNI (%),33.0932
2012,External debt stocks as a proportion of GNI (%),40.9304
2013,External debt stocks as a proportion of GNI (%),43.9606
2014,External debt stocks as a proportion of GNI (%),55.4083
2015,External debt stocks as a proportion of GNI (%),60.4794
2016,External debt stocks as a proportion of GNI (%),61.7783
2017,External debt stocks as a proportion of GNI (%),69.7335
2018,External debt stocks as a proportion of GNI (%),88.9673
2019,External debt stocks as a proportion of GNI (%),91.3065
2020,External debt stocks as a proportion of GNI (%),107.856
2021,External debt stocks as a proportion of GNI (%),114.3834
2022,External debt stocks as a proportion of GNI (%),132.2979
2023,External debt stocks as a proportion of GNI (%),153.2474
2024,External debt stocks as a proportion of GNI (%),150.6902
2000,Annual broad money growth (%),10.8194
2001,Annual broad money growth (%),-8.6228
2002,Annual broad money growth (%),7.2991
2003,Annual broad money growth (%),33.0422
2004,Annual broad money growth (%),14.778
2005,Annual broad money growth (%),9.3228
2006,Annual broad money growth (%),12.2536
2007,Annual broad money growth (%),12.9299
2008,Annual broad money growth (%),9.4299
2009,Annual broad money growth (%),13.2108
2010,Annual broad money growth (%),11.4211
2011,Annual broad money growth (%),7.498
2012,Annual broad money growth (%),6.1957
2013,Annual broad money growth (%),8.0391
2014,Annual broad money growth (%),11.1197
2015,Annual broad money growth (%),19.5699
2016,Annual broad money growth (%),13.7243
2017,Annual broad money growth (%),9.2531
2018,Annual broad money growth (%),14.1496
2019,Annual broad money growth (%),8.2195
2020,Annual broad money growth (%),12.3385
2021,Annual broad money growth (%),15.3406
2022,Annual broad money growth (%),21.57
2023,Annual broad money growth (%),9.6091
2024,Annual broad money growth (%),3.855
2000,"Annual inflation, consumer prices (%)",0.732
2001,"Annual inflation, consumer prices (%)",2.9745
2002,"Annual inflation, consumer prices (%)",2.3373
2003,"Annual inflation, consumer prices (%)",-0.052
2004,"Annual inflation, consumer prices (%)",0.5148
2005,"Annual inflation, consumer prices (%)",1.7113
2006,"Annual inflation, consumer prices (%)",2.1123
2007,"Annual inflation, consumer prices (%)",5.8533
2008,"Annual inflation, consumer prices (%)",7.3472
2009,"Annual inflation, consumer prices (%)",-2.248
2010,"Annual inflation, consumer prices (%)",1.2287
2011,"Annual inflation, consumer prices (%)",3.4032
2012,"Annual inflation, consumer prices (%)",1.4182
2013,"Annual inflation, consumer prices (%)",0.7102
2014,"Annual inflation, consumer prices (%)",-1.0903
2015,"Annual inflation, consumer prices (%)",0.1352
2016,"Annual inflation, consumer prices (%)",0.8373
