Year,Value,Series
2000,0.102,Historique
2001,0.144,Historique
2002,0.18,Historique
2003,0.275,Historique
2004,0.266,Historique
2005,0.273,Historique
2006,0.302,Historique
2007,0.426,Historique
2008,0.46,Historique
2009,0.504,Historique
2010,0.534,Historique
2011,0.657,Historique
2012,0.674,Historique
2013,0.655,Historique
2014,0.684,Historique
2015,0.693,Historique
2016,0.721,Historique
2017,0.773,Historique
2018,0.756,Historique
2019,0.777,Historique
2020,0.855,Historique
2021,0.883,Historique
2022,0.881,Historique
2023,0.908,Historique
2024,0.963,Historique
2025,1.0,Projection
2026,1.0,Projection
2027,1.0,Projection
2028,1.0,Projection
2029,1.0,Projection
2030,1.0,Projection
