Year,Series,Value
2005,Number of disruptions to basic services attributed to disasters (number),18.0
2006,Number of disruptions to basic services attributed to disasters (number),10.0
2007,Number of disruptions to basic services attributed to disasters (number),16.0
2008,Number of disruptions to basic services attributed to disasters (number),14.0
2009,Number of disruptions to basic services attributed to disasters (number),9.0
2010,Number of disruptions to basic services attributed to disasters (number),9.0
2011,Number of disruptions to basic services attributed to disasters (number),6.0
2012,Number of disruptions to basic services attributed to disasters (number),15.0
2013,Number of disruptions to basic services attributed to disasters (number),20.0
2014,Number of disruptions to basic services attributed to disasters (number),13.0
2005,Number of damaged critical infrastructure attributed to disasters (number),1.0
2008,Number of damaged critical infrastructure attributed to disasters (number),2.0
2009,Number of damaged critical infrastructure attributed to disasters (number),1.0
2010,Number of damaged critical infrastructure attributed to disasters (number),3.0
2011,Number of damaged critical infrastructure attributed to disasters (number),3.0
2012,Number of damaged critical infrastructure attributed to disasters (number),4.0
2013,Number of damaged critical infrastructure attributed to disasters (number),13.0
2014,Number of damaged critical infrastructure attributed to disasters (number),12.0
2008,Number of destroyed or damaged educational facilities attributed to disasters (number),2.0
2009,Number of destroyed or damaged educational facilities attributed to disasters (number),1.0
2010,Number of destroyed or damaged educational facilities attributed to disasters (number),2.0
2011,Number of destroyed or damaged educational facilities attributed to disasters (number),2.0
2012,Number of destroyed or damaged educational facilities attributed to disasters (number),4.0
2013,Number of destroyed or damaged educational facilities attributed to disasters (number),11.0
2014,Number of destroyed or damaged educational facilities attributed to disasters (number),11.0
2005,Number of disruptions to educational services attributed to disasters (number),1.0
2007,Number of disruptions to educational services attributed to disasters (number),5.0
2008,Number of disruptions to educational services attributed to disasters (number),8.0
2009,Number of disruptions to educational services attributed to disasters (number),5.0
2010,Number of disruptions to educational services attributed to disasters (number),4.0
2011,Number of disruptions to educational services attributed to disasters (number),3.0
2012,Number of disruptions to educational services attributed to disasters (number),8.0
2013,Number of disruptions to educational services attributed to disasters (number),16.0
2014,Number of disruptions to educational services attributed to disasters (number),9.0
2005,Number of destroyed or damaged health facilities attributed to disasters (number),1.0
2010,Number of destroyed or damaged health facilities attributed to disasters (number),1.0
2011,Number of destroyed or damaged health facilities attributed to disasters (number),1.0
2013,Number of destroyed or damaged health facilities attributed to disasters (number),2.0
2014,Number of destroyed or damaged health facilities attributed to disasters (number),1.0
2005,Number of disruptions to health services attributed to disasters (number),17.0
2006,Number of disruptions to health services attributed to disasters (number),10.0
2007,Number of disruptions to health services attributed to disasters (number),11.0
2008,Number of disruptions to health services attributed to disasters (number),6.0
2009,Number of disruptions to health services attributed to disasters (number),4.0
2010,Number of disruptions to health services attributed to disasters (number),5.0
2011,Number of disruptions to health services attributed to disasters (number),3.0
2012,Number of disruptions to health services attributed to disasters (number),7.0
2013,Number of disruptions to health services attributed to disasters (number),4.0
2014,Number of disruptions to health services attributed to disasters (number),4.0
