Year,Value,Type
2000,0.11,Historique
2001,0.235,Historique
2002,0.233,Historique
2003,0.256,Historique
2004,0.267,Historique
2005,0.073,Historique
2006,0.081,Historique
2007,0.108,Historique
2008,0.034,Historique
2009,0.064,Historique
2010,0.118,Historique
2011,0.142,Historique
2012,0.09,Historique
2013,0.122,Historique
2014,0.311,Historique
2015,0.337,Historique
2016,0.194,Historique
2017,0.282,Historique
2018,0.35,Historique
2019,0.621,Historique
2020,0.441,Historique
2021,0.479,Historique
2022,0.491,Historique
2023,0.485,Historique
2024,0.606,Historique
2025,0.6635,Projection
2026,0.721,Projection
2027,0.7785,Projection
2028,0.836,Projection
2029,0.8935,Projection
2030,0.951,Projection
