Year,Value,Type
2000,0.446,Historique
2001,0.436,Historique
2002,0.386,Historique
2003,0.389,Historique
2004,0.401,Historique
2005,0.448,Historique
2006,0.361,Historique
2007,0.343,Historique
2008,0.428,Historique
2009,0.403,Historique
2010,0.376,Historique
2011,0.326,Historique
2012,0.344,Historique
2013,0.352,Historique
2014,0.348,Historique
2015,0.41,Historique
2016,0.389,Historique
2017,0.363,Historique
2018,0.382,Historique
2019,0.363,Historique
2020,0.362,Historique
2021,0.561,Historique
2022,0.464,Historique
2023,0.496,Historique
2024,0.46,Historique
2025,0.458,Projection
2026,0.456,Projection
2027,0.454,Projection
2028,0.452,Projection
2029,0.45,Projection
2030,0.448,Projection
