Year,Value,Type
2000,0.469,Historique
2001,0.475,Historique
2002,0.482,Historique
2003,0.484,Historique
2004,0.484,Historique
2005,0.488,Historique
2006,0.549,Historique
2007,0.544,Historique
2008,0.361,Historique
2009,0.396,Historique
2010,0.655,Historique
2011,0.653,Historique
2012,0.539,Historique
2013,0.525,Historique
2014,0.631,Historique
2015,0.58,Historique
2016,0.64,Historique
2017,0.609,Historique
2018,0.65,Historique
2019,0.691,Historique
2020,0.701,Historique
2021,0.709,Historique
2022,0.718,Historique
2023,0.724,Historique
2024,0.638,Historique
2025,0.598,Projection
2026,0.558,Projection
2027,0.518,Projection
2028,0.478,Projection
2029,0.438,Projection
2030,0.398,Projection
