Year,Series,Value
2000,Proportion of children moderately or severely stunted (%),24.6
2001,Proportion of children moderately or severely stunted (%),24.0
2002,Proportion of children moderately or severely stunted (%),23.3
2003,Proportion of children moderately or severely stunted (%),22.7
2004,Proportion of children moderately or severely stunted (%),22.0
2005,Proportion of children moderately or severely stunted (%),21.5
2006,Proportion of children moderately or severely stunted (%),20.9
2007,Proportion of children moderately or severely stunted (%),20.3
2008,Proportion of children moderately or severely stunted (%),19.7
2009,Proportion of children moderately or severely stunted (%),19.2
2010,Proportion of children moderately or severely stunted (%),18.7
2011,Proportion of children moderately or severely stunted (%),18.4
2012,Proportion of children moderately or severely stunted (%),18.2
2013,Proportion of children moderately or severely stunted (%),18.2
2014,Proportion of children moderately or severely stunted (%),18.2
2015,Proportion of children moderately or severely stunted (%),18.2
2016,Proportion of children moderately or severely stunted (%),18.1
2017,Proportion of children moderately or severely stunted (%),17.9
2018,Proportion of children moderately or severely stunted (%),17.6
2019,Proportion of children moderately or severely stunted (%),17.3
2020,Proportion of children moderately or severely stunted (%),17.0
2021,Proportion of children moderately or severely stunted (%),16.9
2022,Proportion of children moderately or severely stunted (%),17.0
2023,Proportion of children moderately or severely stunted (%),17.2
2024,Proportion of children moderately or severely stunted (%),17.2
2000,Children moderately or severely stunted (thousands),407.7
2001,Children moderately or severely stunted (thousands),407.3
2002,Children moderately or severely stunted (thousands),405.7
2003,Children moderately or severely stunted (thousands),403.1
2004,Children moderately or severely stunted (thousands),401.0
2005,Children moderately or severely stunted (thousands),399.7
2006,Children moderately or severely stunted (thousands),398.3
2007,Children moderately or severely stunted (thousands),395.8
2008,Children moderately or severely stunted (thousands),392.4
2009,Children moderately or severely stunted (thousands),390.2
2010,Children moderately or severely stunted (thousands),389.2
2011,Children moderately or severely stunted (thousands),392.3
2012,Children moderately or severely stunted (thousands),399.6
2013,Children moderately or severely stunted (thousands),409.5
2014,Children moderately or severely stunted (thousands),418.6
2015,Children moderately or severely stunted (thousands),425.4
2016,Children moderately or severely stunted (thousands),428.0
2017,Children moderately or severely stunted (thousands),425.5
2018,Children moderately or severely stunted (thousands),419.8
2019,Children moderately or severely stunted (thousands),414.7
2020,Children moderately or severely stunted (thousands),409.8
2021,Children moderately or severely stunted (thousands),408.0
2022,Children moderately or severely stunted (thousands),411.4
2023,Children moderately or severely stunted (thousands),421.4
2024,Children moderately or severely stunted (thousands),428.3
