Year,Series,Value
2000,"Proportion of population practicing open defecation, by urban/rural (%)",24.8069
2001,"Proportion of population practicing open defecation, by urban/rural (%)",24.0211
2002,"Proportion of population practicing open defecation, by urban/rural (%)",23.2387
2003,"Proportion of population practicing open defecation, by urban/rural (%)",22.4112
2004,"Proportion of population practicing open defecation, by urban/rural (%)",21.553
2005,"Proportion of population practicing open defecation, by urban/rural (%)",20.7035
2006,"Proportion of population practicing open defecation, by urban/rural (%)",19.8621
2007,"Proportion of population practicing open defecation, by urban/rural (%)",19.029
2008,"Proportion of population practicing open defecation, by urban/rural (%)",18.2044
2009,"Proportion of population practicing open defecation, by urban/rural (%)",17.3886
2010,"Proportion of population practicing open defecation, by urban/rural (%)",16.581
2011,"Proportion of population practicing open defecation, by urban/rural (%)",15.7819
2012,"Proportion of population practicing open defecation, by urban/rural (%)",14.9916
2013,"Proportion of population practicing open defecation, by urban/rural (%)",14.2099
2014,"Proportion of population practicing open defecation, by urban/rural (%)",13.4369
2015,"Proportion of population practicing open defecation, by urban/rural (%)",12.6709
2016,"Proportion of population practicing open defecation, by urban/rural (%)",11.9124
2017,"Proportion of population practicing open defecation, by urban/rural (%)",11.1614
2018,"Proportion of population practicing open defecation, by urban/rural (%)",10.4184
2019,"Proportion of population practicing open defecation, by urban/rural (%)",9.6837
2020,"Proportion of population practicing open defecation, by urban/rural (%)",8.9576
2021,"Proportion of population practicing open defecation, by urban/rural (%)",8.2402
2022,"Proportion of population practicing open defecation, by urban/rural (%)",7.5319
2023,"Proportion of population practicing open defecation, by urban/rural (%)",6.8332
2024,"Proportion of population practicing open defecation, by urban/rural (%)",6.1441
2011,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",19.2721
2012,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",19.4024
2013,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",19.5331
2014,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",19.664
2015,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",19.7978
2016,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",20.6548
2017,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",21.4966
2018,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",22.3219
2019,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",23.1307
2020,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",23.922
2021,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",24.6955
2022,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",25.4506
2023,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",26.1866
2024,"Proportion of population with basic handwashing facilities on premises, by urban/rural (%)",26.9032
2000,"Proportion of population using safely managed sanitation services, by urban/rural (%)",14.6423
2001,"Proportion of population using safely managed sanitation services, by urban/rural (%)",14.9892
2002,"Proportion of population using safely managed sanitation services, by urban/rural (%)",15.3584
2003,"Proportion of population using safely managed sanitation services, by urban/rural (%)",15.7344
2004,"Proportion of population using safely managed sanitation services, by urban/rural (%)",16.1141
2005,"Proportion of population using safely managed sanitation services, by urban/rural (%)",16.4919
2006,"Proportion of population using safely managed sanitation services, by urban/rural (%)",16.8677
2007,"Proportion of population using safely managed sanitation services, by urban/rural (%)",17.2416
2008,"Proportion of population using safely managed sanitation services, by urban/rural (%)",17.6134
2009,"Proportion of population using safely managed sanitation services, by urban/rural (%)",17.983
2010,"Proportion of population using safely managed sanitation services, by urban/rural (%)",18.6883
2011,"Proportion of population using safely managed sanitation services, by urban/rural (%)",19.4091
2012,"Proportion of population using safely managed sanitation services, by urban/rural (%)",20.145
2013,"Proportion of population using safely managed sanitation services, by urban/rural (%)",20.8959
2014,"Proportion of population using safely managed sanitation services, by urban/rural (%)",21.6618
2015,"Proportion of population using safely managed sanitation services, by urban/rural (%)",22.4423
2016,"Proportion of population using safely managed sanitation services, by urban/rural (%)",23.2372
2017,"Proportion of population using safely managed sanitation services, by urban/rural (%)",24.0461
2018,"Proportion of population using safely managed sanitation services, by urban/rural (%)",24.8689
2019,"Proportion of population using safely managed sanitation services, by urban/rural (%)",25.7051
2020,"Proportion of population using safely managed sanitation services, by urban/rural (%)",26.5545
2021,"Proportion of population using safely managed sanitation services, by urban/rural (%)",27.4166
2022,"Proportion of population using safely managed sanitation services, by urban/rural (%)",28.2912
2023,"Proportion of population using safely managed sanitation services, by urban/rural (%)",29.1778
2024,"Proportion of population using safely managed sanitation services, by urban/rural (%)",30.0762
