Year,Series,Value
2000,"Proportion of total government spending on essential services, education [UIS methodology] (%)",17.6185
2001,"Proportion of total government spending on essential services, education [UIS methodology] (%)",15.7297
2002,"Proportion of total government spending on essential services, education [UIS methodology] (%)",16.7219
2003,"Proportion of total government spending on essential services, education [UIS methodology] (%)",16.1175
2004,"Proportion of total government spending on essential services, education [UIS methodology] (%)",16.9623
2005,"Proportion of total government spending on essential services, education [UIS methodology] (%)",21.771
2006,"Proportion of total government spending on essential services, education [UIS methodology] (%)",17.9546
2008,"Proportion of total government spending on essential services, education [UIS methodology] (%)",19.2261
2009,"Proportion of total government spending on essential services, education [UIS methodology] (%)",23.3005
2010,"Proportion of total government spending on essential services, education [UIS methodology] (%)",2.5106
2011,"Proportion of total government spending on essential services, education [UIS methodology] (%)",21.087
2012,"Proportion of total government spending on essential services, education [UIS methodology] (%)",20.7952
2013,"Proportion of total government spending on essential services, education [UIS methodology] (%)",25.7423
2014,"Proportion of total government spending on essential services, education [UIS methodology] (%)",24.8013
2015,"Proportion of total government spending on essential services, education [UIS methodology] (%)",23.7783
2016,"Proportion of total government spending on essential services, education [UIS methodology] (%)",21.3374
2017,"Proportion of total government spending on essential services, education [UIS methodology] (%)",21.1017
2018,"Proportion of total government spending on essential services, education [UIS methodology] (%)",22.6593
2019,"Proportion of total government spending on essential services, education [UIS methodology] (%)",14.6931
2020,"Proportion of total government spending on essential services, education [UIS methodology] (%)",19.2167
2021,"Proportion of total government spending on essential services, education [UIS methodology] (%)",16.6769
2022,"Proportion of total government spending on essential services, education [UIS methodology] (%)",16.4916
2023,"Proportion of total government spending on essential services, education [UIS methodology] (%)",22.5472
2000,"Proportion of total government spending on essential services, education (%)",13.7087
2000,"Proportion of total government spending on essential services, health (%)",3.4623
