Year,Series,Value
2001,Agriculture value added share of GDP (%),16.25
2009,Agriculture value added share of GDP (%),16.11
2010,Agriculture value added share of GDP (%),15.95
2011,Agriculture value added share of GDP (%),12.95
2012,Agriculture value added share of GDP (%),14.1
2013,Agriculture value added share of GDP (%),13.72
2014,Agriculture value added share of GDP (%),13.37
2015,Agriculture value added share of GDP (%),14.28
2016,Agriculture value added share of GDP (%),14.41
2017,Agriculture value added share of GDP (%),14.98
2018,Agriculture value added share of GDP (%),14.99
2019,Agriculture value added share of GDP (%),14.9
2020,Agriculture value added share of GDP (%),16.15
2021,Agriculture value added share of GDP (%),15.55
2022,Agriculture value added share of GDP (%),16.34
2023,Agriculture value added share of GDP (%),17.88
2024,Agriculture value added share of GDP (%),15.9
2001,Agriculture orientation index for government expenditures,0.23
2009,Agriculture orientation index for government expenditures,0.23
2010,Agriculture orientation index for government expenditures,0.23
2011,Agriculture orientation index for government expenditures,0.29
2012,Agriculture orientation index for government expenditures,0.26
2013,Agriculture orientation index for government expenditures,0.26
2014,Agriculture orientation index for government expenditures,0.29
2015,Agriculture orientation index for government expenditures,0.22
2016,Agriculture orientation index for government expenditures,0.25
2017,Agriculture orientation index for government expenditures,0.18
2018,Agriculture orientation index for government expenditures,0.23
2019,Agriculture orientation index for government expenditures,0.32
2020,Agriculture orientation index for government expenditures,0.29
2021,Agriculture orientation index for government expenditures,0.28
2022,Agriculture orientation index for government expenditures,0.32
2023,Agriculture orientation index for government expenditures,0.32
2024,Agriculture orientation index for government expenditures,0.45
2001,Agriculture share of Government Expenditure (%),3.66
2009,Agriculture share of Government Expenditure (%),3.65
2010,Agriculture share of Government Expenditure (%),3.65
2011,Agriculture share of Government Expenditure (%),3.71
2012,Agriculture share of Government Expenditure (%),3.61
2013,Agriculture share of Government Expenditure (%),3.63
2014,Agriculture share of Government Expenditure (%),3.92
2015,Agriculture share of Government Expenditure (%),3.18
2016,Agriculture share of Government Expenditure (%),3.65
2017,Agriculture share of Government Expenditure (%),2.73
2018,Agriculture share of Government Expenditure (%),3.45
2019,Agriculture share of Government Expenditure (%),4.76
2020,Agriculture share of Government Expenditure (%),4.63
2021,Agriculture share of Government Expenditure (%),4.31
2022,Agriculture share of Government Expenditure (%),5.21
2023,Agriculture share of Government Expenditure (%),5.69
2024,Agriculture share of Government Expenditure (%),7.21
