Year,Series,Value
2000,"Proportion of population using basic drinking water services, by location (%)",59.7997
2001,"Proportion of population using basic drinking water services, by location (%)",60.9066
2002,"Proportion of population using basic drinking water services, by location (%)",62.0161
2003,"Proportion of population using basic drinking water services, by location (%)",63.1942
2004,"Proportion of population using basic drinking water services, by location (%)",64.4218
2005,"Proportion of population using basic drinking water services, by location (%)",65.6454
2006,"Proportion of population using basic drinking water services, by location (%)",66.8656
2007,"Proportion of population using basic drinking water services, by location (%)",68.0818
2008,"Proportion of population using basic drinking water services, by location (%)",69.294
2009,"Proportion of population using basic drinking water services, by location (%)",70.5014
2010,"Proportion of population using basic drinking water services, by location (%)",71.7047
2011,"Proportion of population using basic drinking water services, by location (%)",72.9034
2012,"Proportion of population using basic drinking water services, by location (%)",74.097
2013,"Proportion of population using basic drinking water services, by location (%)",75.2855
2014,"Proportion of population using basic drinking water services, by location (%)",76.469
2015,"Proportion of population using basic drinking water services, by location (%)",77.6493
2016,"Proportion of population using basic drinking water services, by location (%)",78.8258
2017,"Proportion of population using basic drinking water services, by location (%)",79.9985
2018,"Proportion of population using basic drinking water services, by location (%)",81.1662
2019,"Proportion of population using basic drinking water services, by location (%)",82.3289
2020,"Proportion of population using basic drinking water services, by location (%)",83.4856
2021,"Proportion of population using basic drinking water services, by location (%)",84.6361
2022,"Proportion of population using basic drinking water services, by location (%)",85.7796
2023,"Proportion of population using basic drinking water services, by location (%)",86.9156
2024,"Proportion of population using basic drinking water services, by location (%)",88.0436
2000,"Proportion of population using basic sanitation services, by location (%)",36.6398
2001,"Proportion of population using basic sanitation services, by location (%)",37.6231
2002,"Proportion of population using basic sanitation services, by location (%)",38.6344
2003,"Proportion of population using basic sanitation services, by location (%)",39.7038
2004,"Proportion of population using basic sanitation services, by location (%)",40.816
2005,"Proportion of population using basic sanitation services, by location (%)",41.9259
2006,"Proportion of population using basic sanitation services, by location (%)",43.0341
2007,"Proportion of population using basic sanitation services, by location (%)",44.14
2008,"Proportion of population using basic sanitation services, by location (%)",45.2435
2009,"Proportion of population using basic sanitation services, by location (%)",46.3441
2010,"Proportion of population using basic sanitation services, by location (%)",47.4423
2011,"Proportion of population using basic sanitation services, by location (%)",48.5378
2012,"Proportion of population using basic sanitation services, by location (%)",49.6299
2013,"Proportion of population using basic sanitation services, by location (%)",50.7189
2014,"Proportion of population using basic sanitation services, by location (%)",51.8046
2015,"Proportion of population using basic sanitation services, by location (%)",52.889
2016,"Proportion of population using basic sanitation services, by location (%)",53.9715
2017,"Proportion of population using basic sanitation services, by location (%)",55.0521
2018,"Proportion of population using basic sanitation services, by location (%)",56.13
2019,"Proportion of population using basic sanitation services, by location (%)",57.2049
2020,"Proportion of population using basic sanitation services, by location (%)",58.2764
2021,"Proportion of population using basic sanitation services, by location (%)",59.3442
2022,"Proportion of population using basic sanitation services, by location (%)",60.4076
2023,"Proportion of population using basic sanitation services, by location (%)",61.4661
2024,"Proportion of population using basic sanitation services, by location (%)",62.5196
