Year,Series,Value
2000,"Neonatal mortality rate (deaths per 1,000 live births)",37.786
2001,"Neonatal mortality rate (deaths per 1,000 live births)",36.7158
2002,"Neonatal mortality rate (deaths per 1,000 live births)",35.4522
2003,"Neonatal mortality rate (deaths per 1,000 live births)",34.0529
2004,"Neonatal mortality rate (deaths per 1,000 live births)",32.5761
2005,"Neonatal mortality rate (deaths per 1,000 live births)",31.0847
2006,"Neonatal mortality rate (deaths per 1,000 live births)",29.7568
2007,"Neonatal mortality rate (deaths per 1,000 live births)",28.6874
2008,"Neonatal mortality rate (deaths per 1,000 live births)",27.8186
2009,"Neonatal mortality rate (deaths per 1,000 live births)",27.1117
2010,"Neonatal mortality rate (deaths per 1,000 live births)",26.4978
2011,"Neonatal mortality rate (deaths per 1,000 live births)",26.0304
2012,"Neonatal mortality rate (deaths per 1,000 live births)",25.7155
2013,"Neonatal mortality rate (deaths per 1,000 live births)",25.5195
2014,"Neonatal mortality rate (deaths per 1,000 live births)",25.4343
2015,"Neonatal mortality rate (deaths per 1,000 live births)",25.3922
2016,"Neonatal mortality rate (deaths per 1,000 live births)",25.3507
2017,"Neonatal mortality rate (deaths per 1,000 live births)",25.2323
2018,"Neonatal mortality rate (deaths per 1,000 live births)",24.9523
2019,"Neonatal mortality rate (deaths per 1,000 live births)",24.5077
2020,"Neonatal mortality rate (deaths per 1,000 live births)",23.8937
2021,"Neonatal mortality rate (deaths per 1,000 live births)",23.1796
2022,"Neonatal mortality rate (deaths per 1,000 live births)",22.4054
2023,"Neonatal mortality rate (deaths per 1,000 live births)",21.6558
2024,"Neonatal mortality rate (deaths per 1,000 live births)",20.9418
2000,Neonatal deaths (number),14789.0
2001,Neonatal deaths (number),14559.0
2002,Neonatal deaths (number),14318.0
2003,Neonatal deaths (number),14104.0
2004,Neonatal deaths (number),13711.0
2005,Neonatal deaths (number),13256.0
2006,Neonatal deaths (number),12852.0
2007,Neonatal deaths (number),12576.0
2008,Neonatal deaths (number),12504.0
2009,Neonatal deaths (number),12461.0
2010,Neonatal deaths (number),12461.0
2011,Neonatal deaths (number),12599.0
2012,Neonatal deaths (number),12833.0
2013,Neonatal deaths (number),12851.0
2014,Neonatal deaths (number),12768.0
2015,Neonatal deaths (number),12781.0
2016,Neonatal deaths (number),12885.0
2017,Neonatal deaths (number),12805.0
2018,Neonatal deaths (number),12546.0
2019,Neonatal deaths (number),12186.0
2020,Neonatal deaths (number),12000.0
2021,Neonatal deaths (number),11850.0
2022,Neonatal deaths (number),11642.0
2023,Neonatal deaths (number),11508.0
2024,Neonatal deaths (number),11300.0
