Year,Value,Type
2000,0.0,Historique
2001,0.033,Historique
2002,0.033,Historique
2003,0.033,Historique
2004,0.26,Historique
2005,0.26,Historique
2006,0.26,Historique
2007,0.26,Historique
2008,0.26,Historique
2009,0.26,Historique
2010,0.259,Historique
2011,0.259,Historique
2012,0.26,Historique
2013,0.26,Historique
2014,0.347,Historique
2015,0.346,Historique
2016,0.346,Historique
2017,0.863,Historique
2018,0.773,Historique
2019,0.819,Historique
2020,0.845,Historique
2021,0.803,Historique
2022,1.0,Historique
2023,1.0,Historique
2024,1.0,Historique
2025,1.0,Projection
2026,1.0,Projection
2027,1.0,Projection
2028,1.0,Projection
2029,1.0,Projection
2030,1.0,Projection
