Year,Series,Value
2021,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo",0.7961
2022,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo",0.7897
2023,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo",0.869
2024,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo",0.869
2021,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",1.0
2022,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",1.0
2023,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",1.0
2024,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral",1.0
2021,"Number of youth in parliament, Lower Chamber or Unicameral (Number)",30.0
2022,"Number of youth in parliament, Lower Chamber or Unicameral (Number)",30.0
2021,"Proportion of youth in parliament, Lower Chamber or Unicameral (%)",18.4
2022,"Proportion of youth in parliament, Lower Chamber or Unicameral (%)",18.4
2021,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower ",0.2755
2022,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower ",0.2755
