Year,Value,Type
2000,0.633,Historique
2001,0.765,Historique
2002,0.776,Historique
2003,0.811,Historique
2004,0.725,Historique
2005,0.741,Historique
2006,0.724,Historique
2007,0.763,Historique
2008,0.662,Historique
2009,0.624,Historique
2010,0.617,Historique
2011,0.581,Historique
2012,0.62,Historique
2013,0.575,Historique
2014,0.564,Historique
2015,0.547,Historique
2016,0.486,Historique
2017,0.408,Historique
2018,0.432,Historique
2019,0.35,Historique
2020,0.309,Historique
2021,0.306,Historique
2022,0.267,Historique
2023,0.264,Historique
2024,0.264,Historique
2025,0.2625,Projection
2026,0.261,Projection
2027,0.2595,Projection
2028,0.258,Projection
2029,0.2565,Projection
2030,0.255,Projection
