Year,Value,Series
2000,0.333,Historique
2001,0.359,Historique
2002,0.212,Historique
2003,0.429,Historique
2004,0.417,Historique
2005,0.433,Historique
2006,0.379,Historique
2007,0.414,Historique
2008,0.494,Historique
2009,0.465,Historique
2010,0.533,Historique
2011,0.435,Historique
2012,0.506,Historique
2013,0.421,Historique
2014,0.549,Historique
2015,0.548,Historique
2016,0.524,Historique
2017,0.733,Historique
2018,0.686,Historique
2019,0.716,Historique
2020,0.566,Historique
2021,0.795,Historique
2022,0.694,Historique
2023,0.72,Historique
2024,0.808,Historique
2025,0.865,Projection
2026,0.922,Projection
2027,0.979,Projection
2028,1.0,Projection
2029,1.0,Projection
2030,1.0,Projection
