Year,Series,Value
2011,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",13.2
2015,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",7.1
2016,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",4.9
2017,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",5.8
2023,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years)",8.0
2011,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),83.2
2015,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),87.5
2016,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),88.9
2017,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),80.7
2023,Proportion of women who make their own informed decisions regarding contraceptive use (% of women aged 15-49 years),62.4
2011,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),37.2
2015,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),24.0
2016,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),18.6
2017,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),26.6
2023,Proportion of women who make their own informed decisions regarding reproductive health care (% of women aged 15-49 years),35.2
2011,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),35.5
2015,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),24.3
2016,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),19.3
2017,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),17.5
2023,Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),22.3
