Year,Type,Value
2000,Historique,0.357
2001,Historique,0.363
2002,Historique,0.391
2003,Historique,0.385
2004,Historique,0.289
2005,Historique,0.288
2006,Historique,0.318
2007,Historique,0.304
2008,Historique,0.312
2009,Historique,0.298
2010,Historique,0.308
2011,Historique,0.364
2012,Historique,0.369
2013,Historique,0.379
2014,Historique,0.298
2015,Historique,0.321
2016,Historique,0.32
2017,Historique,0.372
2018,Historique,0.426
2019,Historique,0.538
2020,Historique,0.504
2021,Historique,0.452
2022,Historique,0.643
2023,Historique,0.632
2024,Historique,0.754
2025,Projection,0.8095
2026,Projection,0.865
2027,Projection,0.9205
2028,Projection,0.976
2029,Projection,1.0
2030,Projection,1.0
