Year,Type,Value
2000,Historique,0.333
2001,Historique,0.359
2002,Historique,0.212
2003,Historique,0.429
2004,Historique,0.417
2005,Historique,0.433
2006,Historique,0.379
2007,Historique,0.414
2008,Historique,0.494
2009,Historique,0.465
2010,Historique,0.533
2011,Historique,0.435
2012,Historique,0.506
2013,Historique,0.421
2014,Historique,0.549
2015,Historique,0.548
2016,Historique,0.524
2017,Historique,0.733
2018,Historique,0.686
2019,Historique,0.716
2020,Historique,0.566
2021,Historique,0.795
2022,Historique,0.694
2023,Historique,0.72
2024,Historique,0.808
2025,Projection,0.865
2026,Projection,0.922
2027,Projection,0.979
2028,Projection,1.0
2029,Projection,1.0
2030,Projection,1.0
