Year,Value,Series
2000,57.4,Proportion of women aged 15-49 years with anaemia (%)
2001,57.1,Proportion of women aged 15-49 years with anaemia (%)
2002,56.9,Proportion of women aged 15-49 years with anaemia (%)
2003,56.6,Proportion of women aged 15-49 years with anaemia (%)
2004,56.2,Proportion of women aged 15-49 years with anaemia (%)
2005,55.7,Proportion of women aged 15-49 years with anaemia (%)
2006,55.1,Proportion of women aged 15-49 years with anaemia (%)
2007,54.4,Proportion of women aged 15-49 years with anaemia (%)
2008,53.5,Proportion of women aged 15-49 years with anaemia (%)
2009,52.6,Proportion of women aged 15-49 years with anaemia (%)
2010,51.5,Proportion of women aged 15-49 years with anaemia (%)
2011,50.5,Proportion of women aged 15-49 years with anaemia (%)
2012,49.6,Proportion of women aged 15-49 years with anaemia (%)
2013,48.7,Proportion of women aged 15-49 years with anaemia (%)
2014,47.8,Proportion of women aged 15-49 years with anaemia (%)
2015,47.0,Proportion of women aged 15-49 years with anaemia (%)
2016,46.3,Proportion of women aged 15-49 years with anaemia (%)
2017,45.6,Proportion of women aged 15-49 years with anaemia (%)
2018,44.9,Proportion of women aged 15-49 years with anaemia (%)
2019,44.3,Proportion of women aged 15-49 years with anaemia (%)
2020,43.7,Proportion of women aged 15-49 years with anaemia (%)
2021,43.3,Proportion of women aged 15-49 years with anaemia (%)
2022,43.1,Proportion of women aged 15-49 years with anaemia (%)
2023,43.1,Proportion of women aged 15-49 years with anaemia (%)
2000,56.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2001,56.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2002,56.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2003,55.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2004,55.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2005,55.0,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2006,54.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2007,53.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2008,52.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2009,51.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2010,50.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2011,49.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2012,48.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2013,47.8,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2014,46.9,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2015,46.2,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2016,45.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2017,44.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2018,44.1,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2019,43.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2020,43.0,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2021,42.7,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2022,42.5,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2023,42.4,"Proportion of women aged 15-49 years with anaemia, non-pregnant (%)"
2000,62.7,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2001,62.7,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2002,62.6,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2003,62.5,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2004,62.3,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2005,62.0,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2006,61.7,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2007,61.2,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2008,60.6,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2009,60.0,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2010,59.3,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2011,58.6,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2012,57.8,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2013,57.1,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2014,56.3,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2015,55.6,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2016,54.9,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2017,54.2,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2018,53.5,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2019,52.8,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2020,52.2,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2021,51.6,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2022,51.2,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
2023,50.9,"Proportion of women aged 15-49 years with anaemia, pregnant (%)"
