Year,Value,Series
2009,0.643,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)"
2009,0.554,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)"
2009,0.653,"Gender parity index for youth/adults with information and communications technology (ICT) skills, by type of skill (ratio)"
2000,0.8123,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2003,1.0002,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2004,1.108,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2005,1.1023,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2006,1.1099,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2007,1.1104,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2008,1.0679,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2009,1.1154,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2010,1.0937,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2011,1.1187,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2012,1.117,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2013,1.1014,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2014,1.1069,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2015,1.1225,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2019,1.1432,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2020,1.1475,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2021,1.1725,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2022,1.1939,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2023,1.2009,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2024,1.1937,"Adjusted gender parity index for participation rate in organized learning (one year before the official primary entry age), (ratio)"
2017,0.3937,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
2017,0.361,Adjusted language test parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
2017,0.7846,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
2017,0.7849,Adjusted immigration status parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
2017,0.5068,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
2017,0.4123,Adjusted rural to urban parity index for achieving a minimum proficiency level in reading and mathematics (ratio)
