Year,Value,Series
2000,37.786,"Neonatal mortality rate (deaths per 1,000 live births)"
2001,36.7158,"Neonatal mortality rate (deaths per 1,000 live births)"
2002,35.4522,"Neonatal mortality rate (deaths per 1,000 live births)"
2003,34.0529,"Neonatal mortality rate (deaths per 1,000 live births)"
2004,32.5761,"Neonatal mortality rate (deaths per 1,000 live births)"
2005,31.0847,"Neonatal mortality rate (deaths per 1,000 live births)"
2006,29.7568,"Neonatal mortality rate (deaths per 1,000 live births)"
2007,28.6874,"Neonatal mortality rate (deaths per 1,000 live births)"
2008,27.8186,"Neonatal mortality rate (deaths per 1,000 live births)"
2009,27.1117,"Neonatal mortality rate (deaths per 1,000 live births)"
2010,26.4978,"Neonatal mortality rate (deaths per 1,000 live births)"
2011,26.0304,"Neonatal mortality rate (deaths per 1,000 live births)"
2012,25.7155,"Neonatal mortality rate (deaths per 1,000 live births)"
2013,25.5195,"Neonatal mortality rate (deaths per 1,000 live births)"
2014,25.4343,"Neonatal mortality rate (deaths per 1,000 live births)"
2015,25.3922,"Neonatal mortality rate (deaths per 1,000 live births)"
2016,25.3507,"Neonatal mortality rate (deaths per 1,000 live births)"
2017,25.2323,"Neonatal mortality rate (deaths per 1,000 live births)"
2018,24.9523,"Neonatal mortality rate (deaths per 1,000 live births)"
2019,24.5077,"Neonatal mortality rate (deaths per 1,000 live births)"
2020,23.8937,"Neonatal mortality rate (deaths per 1,000 live births)"
2021,23.1796,"Neonatal mortality rate (deaths per 1,000 live births)"
2022,22.4054,"Neonatal mortality rate (deaths per 1,000 live births)"
2023,21.6558,"Neonatal mortality rate (deaths per 1,000 live births)"
2024,20.9418,"Neonatal mortality rate (deaths per 1,000 live births)"
2000,14789.0,Neonatal deaths (number)
2001,14559.0,Neonatal deaths (number)
2002,14318.0,Neonatal deaths (number)
2003,14104.0,Neonatal deaths (number)
2004,13711.0,Neonatal deaths (number)
2005,13256.0,Neonatal deaths (number)
2006,12852.0,Neonatal deaths (number)
2007,12576.0,Neonatal deaths (number)
2008,12504.0,Neonatal deaths (number)
2009,12461.0,Neonatal deaths (number)
2010,12461.0,Neonatal deaths (number)
2011,12599.0,Neonatal deaths (number)
2012,12833.0,Neonatal deaths (number)
2013,12851.0,Neonatal deaths (number)
2014,12768.0,Neonatal deaths (number)
2015,12781.0,Neonatal deaths (number)
2016,12885.0,Neonatal deaths (number)
2017,12805.0,Neonatal deaths (number)
2018,12546.0,Neonatal deaths (number)
2019,12186.0,Neonatal deaths (number)
2020,12000.0,Neonatal deaths (number)
2021,11850.0,Neonatal deaths (number)
2022,11642.0,Neonatal deaths (number)
2023,11508.0,Neonatal deaths (number)
2024,11300.0,Neonatal deaths (number)
