Year,Value,Series
2001,3.9435,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2002,3.5295,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2003,4.4091,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2004,4.8898,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2005,4.6408,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2006,4.1451,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2007,4.2105,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2008,3.4039,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2009,3.6851,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2010,2.2046,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2011,2.2203,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2012,2.1568,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2013,2.0,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2014,1.7008,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2015,1.4582,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2016,1.1883,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2017,1.1883,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2018,0.8897,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2019,4.2541,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 10-14"
2001,101.9754,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2002,99.7198,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2003,100.6889,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2004,100.308,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2005,99.1215,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2006,96.2428,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2007,97.903,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2008,96.2037,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2009,92.6566,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2010,90.7671,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2011,88.0,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2012,79.0,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2013,80.1807,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2014,72.4806,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2015,72.0388,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2016,70.4496,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2017,70.4496,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2018,69.2159,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
2019,67.4201,"Adolescent birth rate (per 1,000 women aged 15-19 and 10-14 years) - 15-19"
