Year,Value,Series
2000,0.5618,"Proportion of members of developing countries in international organizations, by organization (%)"
2000,0.5494,"Proportion of members of developing countries in international organizations, by organization (%)"
2000,0.7143,"Proportion of members of developing countries in international organizations, by organization (%)"
2000,1.2987,"Proportion of members of developing countries in international organizations, by organization (%)"
2000,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2000,0.5747,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,0.6711,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,0.5236,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,1.8518,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,0.5525,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,0.5618,"Proportion of members of developing countries in international organizations, by organization (%)"
2005,1.2987,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,0.6536,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,0.5494,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,0.5494,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,1.2987,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,0.5348,"Proportion of members of developing countries in international organizations, by organization (%)"
2010,0.5208,"Proportion of members of developing countries in international organizations, by organization (%)"
2014,1.2658,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,0.5319,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,1.25,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,0.5319,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,0.625,"Proportion of members of developing countries in international organizations, by organization (%)"
2015,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,0.6173,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,6.6667,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,0.5319,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,0.5319,"Proportion of members of developing countries in international organizations, by organization (%)"
2016,1.25,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,6.6667,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2017,1.25,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2018,1.25,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,0.5435,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2019,1.25,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,0.5405,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2020,1.2346,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,1.2346,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,0.5405,"Proportion of members of developing countries in international organizations, by organization (%)"
2021,0.5263,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,0.6098,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,0.5181,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,0.5263,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,0.5376,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,1.2346,"Proportion of members of developing countries in international organizations, by organization (%)"
2022,0.5291,"Proportion of members of developing countries in international organizations, by organization (%)"
