Year,Value,Series
2000,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2001,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2002,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2003,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2004,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2005,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2006,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2007,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2008,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2009,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2010,14.472,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2011,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2012,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2013,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2014,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2015,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2016,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2017,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2018,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2019,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2020,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2021,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2022,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2023,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2024,24.1232,Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas (%)
2000,32.3274,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2001,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2002,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2003,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2004,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2005,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2006,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2007,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2008,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2009,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2010,33.8265,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2011,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2012,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2013,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2014,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2015,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2016,36.2268,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2017,41.7957,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2018,41.7957,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2019,41.7957,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2020,41.7957,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2021,41.7957,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2022,43.7206,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2023,48.5468,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
2024,48.5468,Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas (%)
