Year,Value,Series
2005,18.0,Number of disruptions to basic services attributed to disasters (number)
2006,10.0,Number of disruptions to basic services attributed to disasters (number)
2007,16.0,Number of disruptions to basic services attributed to disasters (number)
2008,14.0,Number of disruptions to basic services attributed to disasters (number)
2009,9.0,Number of disruptions to basic services attributed to disasters (number)
2010,9.0,Number of disruptions to basic services attributed to disasters (number)
2011,6.0,Number of disruptions to basic services attributed to disasters (number)
2012,15.0,Number of disruptions to basic services attributed to disasters (number)
2013,20.0,Number of disruptions to basic services attributed to disasters (number)
2014,13.0,Number of disruptions to basic services attributed to disasters (number)
2005,1.0,Number of damaged critical infrastructure attributed to disasters (number)
2008,2.0,Number of damaged critical infrastructure attributed to disasters (number)
2009,1.0,Number of damaged critical infrastructure attributed to disasters (number)
2010,3.0,Number of damaged critical infrastructure attributed to disasters (number)
2011,3.0,Number of damaged critical infrastructure attributed to disasters (number)
2012,4.0,Number of damaged critical infrastructure attributed to disasters (number)
2013,13.0,Number of damaged critical infrastructure attributed to disasters (number)
2014,12.0,Number of damaged critical infrastructure attributed to disasters (number)
2008,2.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2009,1.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2010,2.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2011,2.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2012,4.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2013,11.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2014,11.0,Number of destroyed or damaged educational facilities attributed to disasters (number)
2005,1.0,Number of disruptions to educational services attributed to disasters (number)
2007,5.0,Number of disruptions to educational services attributed to disasters (number)
2008,8.0,Number of disruptions to educational services attributed to disasters (number)
2009,5.0,Number of disruptions to educational services attributed to disasters (number)
2010,4.0,Number of disruptions to educational services attributed to disasters (number)
2011,3.0,Number of disruptions to educational services attributed to disasters (number)
2012,8.0,Number of disruptions to educational services attributed to disasters (number)
2013,16.0,Number of disruptions to educational services attributed to disasters (number)
2014,9.0,Number of disruptions to educational services attributed to disasters (number)
2005,1.0,Number of destroyed or damaged health facilities attributed to disasters (number)
2010,1.0,Number of destroyed or damaged health facilities attributed to disasters (number)
2011,1.0,Number of destroyed or damaged health facilities attributed to disasters (number)
2013,2.0,Number of destroyed or damaged health facilities attributed to disasters (number)
2014,1.0,Number of destroyed or damaged health facilities attributed to disasters (number)
2005,17.0,Number of disruptions to health services attributed to disasters (number)
2006,10.0,Number of disruptions to health services attributed to disasters (number)
2007,11.0,Number of disruptions to health services attributed to disasters (number)
2008,6.0,Number of disruptions to health services attributed to disasters (number)
2009,4.0,Number of disruptions to health services attributed to disasters (number)
2010,5.0,Number of disruptions to health services attributed to disasters (number)
2011,3.0,Number of disruptions to health services attributed to disasters (number)
2012,7.0,Number of disruptions to health services attributed to disasters (number)
2013,4.0,Number of disruptions to health services attributed to disasters (number)
2014,4.0,Number of disruptions to health services attributed to disasters (number)
