Year,Value,Series
2021,0.7961,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo"
2022,0.7897,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo"
2023,0.869,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo"
2024,0.869,"Ratio for female members of parliaments (Ratio of the proportion of women in parliament in the proportion of women in the national population with the age of eligibility as a lower bound boundary), Lo"
2021,1.0,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral"
2022,1.0,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral"
2023,1.0,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral"
2024,1.0,"Number of speakers in parliament, by age and sex , Lower Chamber or Unicameral"
2021,30.0,"Number of youth in parliament, Lower Chamber or Unicameral (Number)"
2022,30.0,"Number of youth in parliament, Lower Chamber or Unicameral (Number)"
2021,18.4,"Proportion of youth in parliament, Lower Chamber or Unicameral (%)"
2022,18.4,"Proportion of youth in parliament, Lower Chamber or Unicameral (%)"
2021,0.2755,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower"
2022,0.2755,"Ratio of young members in parliament (Ratio of the proportion of young members in parliament in the proportion of the national population with the age of eligibility as a lower bound boundary), Lower"
