Year,Value,Series
2015,23.16,Proportion of women in managerial positions - 13th ICLS (%)
2016,24.86,Proportion of women in managerial positions - 13th ICLS (%)
2019,15.22,Proportion of women in managerial positions - 13th ICLS (%)
2022,33.35,Proportion of women in managerial positions - 13th ICLS (%)
2023,37.07,Proportion of women in managerial positions - 13th ICLS (%)
2024,23.48,Proportion of women in managerial positions - 13th ICLS (%)
2015,26.16,Proportion of women in senior and middle management positions - 13th ICLS (%)
2016,26.2,Proportion of women in senior and middle management positions - 13th ICLS (%)
2019,21.03,Proportion of women in senior and middle management positions - 13th ICLS (%)
2022,39.93,Proportion of women in senior and middle management positions - 13th ICLS (%)
2023,24.35,Proportion of women in senior and middle management positions - 13th ICLS (%)
2024,23.02,Proportion of women in senior and middle management positions - 13th ICLS (%)
