Year,Value,Series
2001,21.1,Prevalence of undernourishment (%)
2002,20.0,Prevalence of undernourishment (%)
2003,18.6,Prevalence of undernourishment (%)
2004,17.1,Prevalence of undernourishment (%)
2005,15.8,Prevalence of undernourishment (%)
2006,14.6,Prevalence of undernourishment (%)
2007,12.2,Prevalence of undernourishment (%)
2008,10.9,Prevalence of undernourishment (%)
2009,10.3,Prevalence of undernourishment (%)
2010,10.9,Prevalence of undernourishment (%)
2011,11.1,Prevalence of undernourishment (%)
2012,11.3,Prevalence of undernourishment (%)
2013,11.2,Prevalence of undernourishment (%)
2014,11.1,Prevalence of undernourishment (%)
2015,10.0,Prevalence of undernourishment (%)
2016,8.9,Prevalence of undernourishment (%)
2017,8.0,Prevalence of undernourishment (%)
2018,7.1,Prevalence of undernourishment (%)
2019,6.2,Prevalence of undernourishment (%)
2020,5.3,Prevalence of undernourishment (%)
2021,5.2,Prevalence of undernourishment (%)
2022,5.1,Prevalence of undernourishment (%)
2023,5.1,Prevalence of undernourishment (%)
2001,2.2,Number of undernourished people (millions)
2002,2.1,Number of undernourished people (millions)
2003,2.0,Number of undernourished people (millions)
2004,1.9,Number of undernourished people (millions)
2005,1.8,Number of undernourished people (millions)
2006,1.7,Number of undernourished people (millions)
2007,1.4,Number of undernourished people (millions)
2008,1.3,Number of undernourished people (millions)
2009,1.3,Number of undernourished people (millions)
2010,1.4,Number of undernourished people (millions)
2011,1.4,Number of undernourished people (millions)
2012,1.5,Number of undernourished people (millions)
2013,1.5,Number of undernourished people (millions)
2014,1.6,Number of undernourished people (millions)
2015,1.5,Number of undernourished people (millions)
2016,1.3,Number of undernourished people (millions)
2017,1.2,Number of undernourished people (millions)
2018,1.1,Number of undernourished people (millions)
2019,1.0,Number of undernourished people (millions)
2020,0.9,Number of undernourished people (millions)
2021,0.9,Number of undernourished people (millions)
2022,0.9,Number of undernourished people (millions)
2023,0.9,Number of undernourished people (millions)
