Year,Value,Series
2003,85.0,Proportion of population covered by at least a 2G mobile network (%)
2004,85.0,Proportion of population covered by at least a 2G mobile network (%)
2005,85.0,Proportion of population covered by at least a 2G mobile network (%)
2006,83.0,Proportion of population covered by at least a 2G mobile network (%)
2007,85.0,Proportion of population covered by at least a 2G mobile network (%)
2008,86.0,Proportion of population covered by at least a 2G mobile network (%)
2009,87.0,Proportion of population covered by at least a 2G mobile network (%)
2010,90.0,Proportion of population covered by at least a 2G mobile network (%)
2011,90.0,Proportion of population covered by at least a 2G mobile network (%)
2012,91.1,Proportion of population covered by at least a 2G mobile network (%)
2013,91.6,Proportion of population covered by at least a 2G mobile network (%)
2014,91.6,Proportion of population covered by at least a 2G mobile network (%)
2015,92.0,Proportion of population covered by at least a 2G mobile network (%)
2016,97.4,Proportion of population covered by at least a 2G mobile network (%)
2017,97.7,Proportion of population covered by at least a 2G mobile network (%)
2018,97.9,Proportion of population covered by at least a 2G mobile network (%)
2019,98.0,Proportion of population covered by at least a 2G mobile network (%)
2020,99.0,Proportion of population covered by at least a 2G mobile network (%)
2021,99.4,Proportion of population covered by at least a 2G mobile network (%)
2022,99.4,Proportion of population covered by at least a 2G mobile network (%)
2023,99.5,Proportion of population covered by at least a 2G mobile network (%)
2014,25.0,Proportion of population covered by at least a 3G mobile network (%)
2015,40.0,Proportion of population covered by at least a 3G mobile network (%)
2016,50.0,Proportion of population covered by at least a 3G mobile network (%)
2017,66.29,Proportion of population covered by at least a 3G mobile network (%)
2018,92.2,Proportion of population covered by at least a 3G mobile network (%)
2019,92.1,Proportion of population covered by at least a 3G mobile network (%)
2020,99.0,Proportion of population covered by at least a 3G mobile network (%)
2021,99.4,Proportion of population covered by at least a 3G mobile network (%)
2022,99.4,Proportion of population covered by at least a 3G mobile network (%)
2023,99.5,Proportion of population covered by at least a 3G mobile network (%)
2024,99.5,Proportion of population covered by at least a 3G mobile network (%)
2015,0.0,Proportion of population covered by at least a 4G mobile network (%)
2016,8.6,Proportion of population covered by at least a 4G mobile network (%)
2017,36.5,Proportion of population covered by at least a 4G mobile network (%)
2018,62.0,Proportion of population covered by at least a 4G mobile network (%)
2019,66.8,Proportion of population covered by at least a 4G mobile network (%)
2020,74.7,Proportion of population covered by at least a 4G mobile network (%)
2021,83.05,Proportion of population covered by at least a 4G mobile network (%)
2022,95.4,Proportion of population covered by at least a 4G mobile network (%)
2023,97.5,Proportion of population covered by at least a 4G mobile network (%)
2024,97.5,Proportion of population covered by at least a 4G mobile network (%)
2021,0.0,Proportion of population covered by at least a 5G mobile network (%)
