Year,Series,Value
2005,Lakes and rivers permanent water area change (%),-2.2879
2006,Lakes and rivers permanent water area change (%),0.4647
2007,Lakes and rivers permanent water area change (%),1.6246
2008,Lakes and rivers permanent water area change (%),2.1069
2009,Lakes and rivers permanent water area change (%),3.6695
2010,Lakes and rivers permanent water area change (%),4.3899
2011,Lakes and rivers permanent water area change (%),2.2206
2012,Lakes and rivers permanent water area change (%),1.5055
2013,Lakes and rivers permanent water area change (%),3.3848
2014,Lakes and rivers permanent water area change (%),3.9955
2015,Lakes and rivers permanent water area change (%),4.9687
2016,Lakes and rivers permanent water area change (%),5.5393
2017,Lakes and rivers permanent water area change (%),9.6715
2018,Lakes and rivers permanent water area change (%),11.5293
2019,Lakes and rivers permanent water area change (%),13.6861
2020,Lakes and rivers permanent water area change (%),15.9753
2021,Lakes and rivers permanent water area change (%),19.334
2022,Lakes and rivers permanent water area change (%),16.549
2000,Lakes and rivers permanent water area (square kilometres),331.9504
2001,Lakes and rivers permanent water area (square kilometres),325.0466
2002,Lakes and rivers permanent water area (square kilometres),387.2238
2003,Lakes and rivers permanent water area (square kilometres),476.7938
2004,Lakes and rivers permanent water area (square kilometres),464.6721
2005,Lakes and rivers permanent water area (square kilometres),447.5473
2006,Lakes and rivers permanent water area (square kilometres),460.1549
2007,Lakes and rivers permanent water area (square kilometres),465.4674
2008,Lakes and rivers permanent water area (square kilometres),467.6765
2009,Lakes and rivers permanent water area (square kilometres),474.8339
2010,Lakes and rivers permanent water area (square kilometres),478.1336
2011,Lakes and rivers permanent water area (square kilometres),468.1975
2012,Lakes and rivers permanent water area (square kilometres),464.922
2013,Lakes and rivers permanent water area (square kilometres),473.5297
2014,Lakes and rivers permanent water area (square kilometres),476.3268
2015,Lakes and rivers permanent water area (square kilometres),480.7842
2016,Lakes and rivers permanent water area (square kilometres),483.3978
2017,Lakes and rivers permanent water area (square kilometres),502.3243
2018,Lakes and rivers permanent water area (square kilometres),510.8338
2019,Lakes and rivers permanent water area (square kilometres),520.7122
2020,Lakes and rivers permanent water area (square kilometres),531.1977
2021,Lakes and rivers permanent water area (square kilometres),546.5811
2022,Lakes and rivers permanent water area (square kilometres),533.8251
2000,Lakes and rivers permanent water area (% of total land area),0.1688
2001,Lakes and rivers permanent water area (% of total land area),0.1652
2002,Lakes and rivers permanent water area (% of total land area),0.1968
2003,Lakes and rivers permanent water area (% of total land area),0.2424
2004,Lakes and rivers permanent water area (% of total land area),0.2362
2005,Lakes and rivers permanent water area (% of total land area),0.2275
2006,Lakes and rivers permanent water area (% of total land area),0.2339
2007,Lakes and rivers permanent water area (% of total land area),0.2366
2008,Lakes and rivers permanent water area (% of total land area),0.2377
2009,Lakes and rivers permanent water area (% of total land area),0.2414
2010,Lakes and rivers permanent water area (% of total land area),0.2431
2011,Lakes and rivers permanent water area (% of total land area),0.238
