Year,Type,Value
2000,Historique,0.541
2001,Historique,0.543
2002,Historique,0.546
2003,Historique,0.549
2004,Historique,0.551
2005,Historique,0.554
2006,Historique,0.551
2007,Historique,0.548
2008,Historique,0.546
2009,Historique,0.543
2010,Historique,0.54
2011,Historique,0.326
2012,Historique,0.311
2013,Historique,0.297
2014,Historique,0.282
2015,Historique,0.136
2016,Historique,0.5
2017,Historique,0.5
2018,Historique,0.139
2019,Historique,0.139
2020,Historique,0.144
2021,Historique,0.13
2022,Historique,0.13
2023,Historique,0.1
2024,Historique,0.1
2025,Projection,0.085
2026,Projection,0.07
2027,Projection,0.055
2028,Projection,0.04
2029,Projection,0.025
2030,Projection,0.01
