Year,Series,Value
2000,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0143
2001,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0162
2002,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0164
2003,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0166
2004,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0164
2005,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.015
2006,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0131
2007,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0119
2008,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0134
2009,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.016
2010,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0141
2011,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0139
2012,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0137
2013,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.014
2014,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0145
2015,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0158
2016,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0165
2017,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0169
2018,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0185
2019,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.022
2020,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0223
2021,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0233
2022,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0229
2023,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0223
2024,Developing countries’ and least developed countries’ share of global merchandise exports (%),0.0262
2000,Developing countries’ and least developed countries’ share of global services exports (%),0.0254
2001,Developing countries’ and least developed countries’ share of global services exports (%),0.0261
2002,Developing countries’ and least developed countries’ share of global services exports (%),0.0279
2003,Developing countries’ and least developed countries’ share of global services exports (%),0.03
2004,Developing countries’ and least developed countries’ share of global services exports (%),0.0293
2005,Developing countries’ and least developed countries’ share of global services exports (%),0.0282
2006,Developing countries’ and least developed countries’ share of global services exports (%),0.0263
2007,Developing countries’ and least developed countries’ share of global services exports (%),0.0328
2008,Developing countries’ and least developed countries’ share of global services exports (%),0.0315
2009,Developing countries’ and least developed countries’ share of global services exports (%),0.0278
2010,Developing countries’ and least developed countries’ share of global services exports (%),0.0263
2011,Developing countries’ and least developed countries’ share of global services exports (%),0.026
2012,Developing countries’ and least developed countries’ share of global services exports (%),0.0263
2013,Developing countries’ and least developed countries’ share of global services exports (%),0.0269
2014,Developing countries’ and least developed countries’ share of global services exports (%),0.0249
2015,Developing countries’ and least developed countries’ share of global services exports (%),0.0235
2016,Developing countries’ and least developed countries’ share of global services exports (%),0.0236
2017,Developing countries’ and least developed countries’ share of global services exports (%),0.0232
2018,Developing countries’ and least developed countries’ share of global services exports (%),0.0229
2019,Developing countries’ and least developed countries’ share of global services exports (%),0.022
2020,Developing countries’ and least developed countries’ share of global services exports (%),0.0164
2021,Developing countries’ and least developed countries’ share of global services exports (%),0.0201
2022,Developing countries’ and least developed countries’ share of global services exports (%),0.0193
2023,Developing countries’ and least developed countries’ share of global services exports (%),0.0184
2024,Developing countries’ and least developed countries’ share of global services exports (%),0.018
2000,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0233
2001,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.027
2002,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0294
2003,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0307
2004,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.03
2005,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0324
2006,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0297
2007,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0342
2008,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0395
2009,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.037
2010,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.031
2011,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.032
2012,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0345
2013,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0345
2014,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0344
2015,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0335
2016,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0338
2017,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0374
2018,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0407
2019,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0421
2020,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0437
2021,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.043
2022,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.047
2023,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0489
2024,Developing countries’ and least developed countries’ share of global merchandise imports (%),0.0476
2000,Developing countries’ and least developed countries’ share of global services imports (%),0.0267
2001,Developing countries’ and least developed countries’ share of global services imports (%),0.0269
2002,Developing countries’ and least developed countries’ share of global services imports (%),0.0292
2003,Developing countries’ and least developed countries’ share of global services imports (%),0.0317
2004,Developing countries’ and least developed countries’ share of global services imports (%),0.0315
2005,Developing countries’ and least developed countries’ share of global services imports (%),0.0308
2006,Developing countries’ and least developed countries’ share of global services imports (%),0.0284
2007,Developing countries’ and least developed countries’ share of global services imports (%),0.0356
2008,Developing countries’ and least developed countries’ share of global services imports (%),0.0358
2009,Developing countries’ and least developed countries’ share of global services imports (%),0.0323
2010,Developing countries’ and least developed countries’ share of global services imports (%),0.0287
2011,Developing countries’ and least developed countries’ share of global services imports (%),0.0297
2012,Developing countries’ and least developed countries’ share of global services imports (%),0.0294
2013,Developing countries’ and least developed countries’ share of global services imports (%),0.0301
2014,Developing countries’ and least developed countries’ share of global services imports (%),0.0278
2015,Developing countries’ and least developed countries’ share of global services imports (%),0.0263
2016,Developing countries’ and least developed countries’ share of global services imports (%),0.0268
2017,Developing countries’ and least developed countries’ share of global services imports (%),0.0278
2018,Developing countries’ and least developed countries’ share of global services imports (%),0.0287
2019,Developing countries’ and least developed countries’ share of global services imports (%),0.0304
2020,Developing countries’ and least developed countries’ share of global services imports (%),0.0522
2021,Developing countries’ and least developed countries’ share of global services imports (%),0.0647
2022,Developing countries’ and least developed countries’ share of global services imports (%),0.0572
2023,Developing countries’ and least developed countries’ share of global services imports (%),0.0545
2024,Developing countries’ and least developed countries’ share of global services imports (%),0.0478
