Year,Type,Value
2000,Historique,0.102
2001,Historique,0.144
2002,Historique,0.18
2003,Historique,0.275
2004,Historique,0.266
2005,Historique,0.273
2006,Historique,0.302
2007,Historique,0.426
2008,Historique,0.46
2009,Historique,0.504
2010,Historique,0.534
2011,Historique,0.657
2012,Historique,0.674
2013,Historique,0.655
2014,Historique,0.684
2015,Historique,0.693
2016,Historique,0.721
2017,Historique,0.773
2018,Historique,0.756
2019,Historique,0.777
2020,Historique,0.855
2021,Historique,0.883
2022,Historique,0.881
2023,Historique,0.908
2024,Historique,0.963
2025,Projection,1.0
2026,Projection,1.0
2027,Projection,1.0
2028,Projection,1.0
2029,Projection,1.0
2030,Projection,1.0
