Year,Value,Series
2000,52.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2001,52.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2002,60.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2003,73.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2004,87.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2005,84.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2006,89.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2007,94.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2008,88.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2009,86.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2010,89.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2011,92.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2012,91.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2013,92.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2014,89.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2015,89.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2016,93.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2017,93.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2018,92.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2019,91.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2020,83.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2021,85.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2022,93.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2023,92.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2024,91.0,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine (%)
2019,26.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2020,33.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2021,34.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2022,26.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2023,39.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2024,51.0,Proportion of the target population who received the final dose of human papillomavirus (HPV) vaccine (%)
2014,13.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2015,54.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2016,57.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2017,59.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2018,62.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2019,63.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2020,63.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2021,64.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2022,69.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2023,74.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2024,79.0,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) (%)
2014,81.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2015,89.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2016,93.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2017,92.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2018,92.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2019,91.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2020,82.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2021,83.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2022,92.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2023,92.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
2024,91.0,Proportion of the target population who received a 3rd dose of pneumococcal conjugate (PCV3) vaccine (%)
