Year,Value,Series
2008,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2009,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2010,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2011,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2012,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2013,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2014,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2015,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2016,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2017,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2018,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2019,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2020,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2021,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2022,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (SEEA tables)
2008,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2009,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2010,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2011,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2012,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2013,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2014,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2015,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2016,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2017,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2018,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2019,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2020,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2021,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2022,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (Tourism Satellite Account tables)
2008,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2009,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2010,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2011,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2012,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2013,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2014,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2015,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2016,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2017,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2018,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2019,1.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2020,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2021,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
2022,0.0,Implementation of standard accounting tools to monitor the economic and environmental aspects of tourism (number of tables)
